geGloss|geSentence|viSentence
ISLAND WOLKE KOMMEN DEUTSCH LAND REGION SCHNEE SCHNEIEN REGEN FROST REGEN|wolken des tiefs bei island sorgen heute nacht im westen deutschlands für schnee gefrierenden regen und regen|Những đám mây sâu gần Iceland sẽ cung cấp tuyết và mưa cho tuyết và mưa ở đêm phương Tây ở phía tây nước Đức
MORGEN PUNKT WENIG KOMMEN MITTE|morgen werden die niederschläge schwächer und ziehen noch etwa bis zur mitte|Ngày mai, lượng mưa sẽ yếu hơn và vẫn di chuyển đến giữa
REGION HOCH KOMMEN|der osten verbleibt unter hochdruckeinfluss|Phương Đông vẫn chịu ảnh hưởng của áp lực cao
PUNKT OST UND SUEDOST TAG SONNE SONST REGION BISSCHEN SCHNEE SCHNEIEN ODER REGEN MIT FROST REGEN|am tag im osten und ganz im südosten sonne sonst gebietsweise etwas schnee oder gefrierender regen im westlichen flachland regen|Vào ngày ở phía đông và trong mặt trời rất đông nam nếu không có tuyết hoặc mưa đóng băng ở vùng thấp phía tây của mưa
WIND PUNKT SUEDOST SCHWACH SONST REGION SCHWACH MAESSIG NORDOST FRISCH WEHEN|der wind weht in der südosthälfte schwach sonst schwach bis mäßig an der nord und ostsee frischer wind|Gió thổi yếu đến vừa phải ở phía bắc và biển Baltic ở nửa phía đông nam của một cơn gió mới
HEUTE NACHT PUNKT OST MINUS FUENFZEHN KOELN PUNKT ZWEI GRAD|heute nacht minus fünfzehn grad im osten und plus zwei grad in köln|Tối nay trừ mười lăm độ ở phía đông và cộng với hai độ trong nước hoa
TAG OST VIER FLUSS SIEBEN GRAD|am tag bis minus vier grad im osten am niederrhein sieben grad|Bảy độ trong ngày để trừ bốn độ ở phía đông ở vùng thấp hơn sông Rhine
FREITAG PUNKT OST SONNE WOLKE SONST REGION BISSCHEN REGEN NUR BERG ETWAS SCHNEE|am freitag in der osthälfte sonne und wolken sonst regnet es vereinzelt etwas nur noch an den alpen etwas schnee|Vào thứ sáu ở nửa phía đông của mặt trời và mây, nếu không thì trời mưa một chút trên dãy Alps
SAMSTAG NORD PUNKT KOMMEN REGEN NORDOST SCHNEE SCHNEIEN DABEI|am samstag zieht ein regengebiet durch von nordwest nach südost im nordosten schneit es dabei teilweise|Vào thứ bảy, một khu vực mưa di chuyển từ tây bắc sang đông nam ở vùng Đông Bắc
SONNTAG WAHRSCHEINLICH BISSCHEN REGEN BERG OBEN SCHNEE SCHNEIEN|am sonntag stellenweise etwas regen im höheren bergland schnee|Vào Chủ nhật ở những nơi có mưa ở vùng núi cao hơn tuyết
JETZT WETTER VORAUS INFORMIEREN MORGEN DIENSTAG NEUN ZWANZIG NOVEMBER|und nun die wettervorhersage für morgen dienstag den neunundzwanzigsten november|Và bây giờ dự báo thời tiết cho ngày mai thứ ba, hai mươi tháng 11
HOCH KOMMEN MITTE KOMMEN MEHR SUEDOST KOMMEN|das zentrum des hochs verlagert sich langsam weiter richtung südosten|Trung tâm cao đang dần di chuyển xa hơn về phía đông nam
SUED MITTE REGION MOEGLICH HABEN NEBEL SPAETER KOENNEN MEHR|im süden und in der mitte gibt es stellenweise bereits nebelfelder die sich später weiter ausbreiten|Ở phía nam và ở giữa đã có những cánh đồng sương mù sẽ lan rộng sau đó
SONST VIEL SONNE NORDWEST BISSCHEN WOLKE KRAEFTIG WOLKE|sonst häufig sonne in der nordwesthälfte aber auch einige dichte wolken|Nếu không thì thường mặt trời ở nửa Tây Bắc nhưng cũng có một số đám mây dày đặc
WEHEN MAESSIG WEHEN MAESSIG WEHEN NORD NORDWEST FRISCH WEHEN NORDWEST ABEND STARK STURM|der wind weht schwach bis mäßig in der nordwesthälfte auch frisch im nordwesten am abend stürmische böen|Gió thổi yếu đến mức vừa phải ở nửa phía tây bắc của những cơn bão bão ở phía tây bắc ở Tây Bắc
TAG NULL GRAD DURCHGEHEND NEBEL DREIZEHN GRAD PUNKT ALLGAEU|am tag null grad bei dauernebel und dreizehn grad im allgäu|Zero độ trong ngày với đòn bẩy không đổi và mười ba độ trong Allgäu
WIE AUSSEHEN IN KOMMEND MITTWOCH TEIL SONNE TEIL WOLKE NEBEL ORT BISSCHEN REGEN|die aussichten am mittwoch teils sonne teils wolken oder nebel hier und da regnet es etwas|Triển vọng vào thứ Tư, một phần mặt trời, một phần mây hoặc sương mù ở đây và ở đó trời mưa một cái gì đó
DONNERSTAG REGEN MEHR SUEDOST KOMMEN|ab donnerstag breiten sich regenwolken allmählich weiter richtung südosten aus|Từ thứ năm, những đám mây mưa đang dần lan ra phía đông nam
WETTER MORGEN SONNTAG NEUNTE MAI WIE AUSSEHEN ZEIGEN BILDSCHIRM|und nun die wettervorhersage für morgen sonntag den neunten mai|Và bây giờ dự báo thời tiết cho ngày mai Chủ nhật thứ chín tháng 5
LUFT WARM HOCH TEMPERATUR STEIGEN HOEHER|da die luft auch warm ist steigen auch die temperaturen ein wenig|Vì không khí cũng ấm, nhiệt độ cũng tăng một chút
NORD WOLKE BISSCHEN REGEN KOENNEN|im norden ist es heute noch zum teil stark bewölkt hier und da fällt etwas regen|Ở phía bắc, nó vẫn còn một phần mây ở đây và có một cơn mưa ở đó
SUED BISSCHEN SCHAUER DANN WOLKE KLAR HIMMEL STERN KOENNEN SEHEN|richtung süden erst noch ein paar schauer dann teils wolkig teils klar|Về phía nam một vài lần tắm thêm một phần mây rõ ràng
ORT NEBEL|örtlich bildet sich nebel|Hình thức địa phương sương mù
TAG WEST WOLKE PUNKT REGEN KOMMEN REGEN KOMMEN SUED SCHAUER OST KOENNEN GEWITTER|am tag gibt es viele wolken zunächst im westen und südwesten gebietsweise regen später in der mitte und im süden schauer vor allem im osten und südosten auch gewitter|Vào ban ngày, có nhiều đám mây ở phía tây và tây nam sau đó mưa ở giữa và ở phía nam Schauer, đặc biệt là ở phía đông và đông nam
NORD BLEIBEN TROCKEN|im norden bleibt es längere zeit trocken|Ở phía bắc, nó vẫn khô ráo trong một thời gian dài
WIND MEHR SCHWACH WENN GEWITTER KOENNEN WEHEN ORT KOENNEN STURM|der wind weht meist schwach in schauer und gewitternähe keine kräftig auffrischen örtlich sind sturmböen möglich|Gió thường thổi yếu ở gần cơn rùng mình và giông bão không có cơn bão nào được làm mới mạnh
HEUTE NACHT NEUN BIS ACHT DREI GRAD WENN KLAR NULL GRAD|heute nacht neun bis drei grad bei längerem aufklaren nahe null grad|Tối nay chín đến ba độ với một khoảng trống dài gần bằng 0 độ
KUESTE MORGEN ZEHN GRAD SUEDOST EINS BIS EINS ZWANZIG GRAD|an den küsten morgen kühle zehn grad im südosten deutlich wärmer bis einundzwanzig grad|Trên bờ biển vào ngày mai, mười độ mát ở phía đông nam để ấm hơn đáng kể đến hai mươi độ
NAECHSTE WOCHE SUED MEHR WARM NORD BLEIBEN KUEHL|dort wird es in der neuen woche noch etwas wärmer im norden bleibt es weiterhin kühl|Ở đó nó trở nên ấm hơn một chút ở phía bắc trong tuần mới, nó vẫn mát mẻ
VIEL WOLKE REGEN KOENNEN REGEN DANN GEWITTER KOENNEN|das ganze bei vielen wolken die regen zum teil noch kräftige schauer und gewitter bringen|Toàn bộ điều này trong nhiều đám mây, một số trong đó vẫn còn mạnh mẽ và giông bão
WETTER WECHSELHAFT BIS MITTWOCH BLEIBEN|an diesem unbeständigen wetter ändert sich bis mittwoch wenig|Những thay đổi nhỏ trong thời tiết không nhất quán này cho đến thứ Tư
MORGEN WIE AUSSEHEN WETTER MITTWOCH VIER ZWANZIG FEBRUAR|und nun die wettervorhersage für morgen mittwoch den vierundzwanzigsten februar|Và bây giờ dự báo thời tiết cho ngày mai thứ tư
LUFT TIEF DRUCK WETTER KOMMEN|tiefer luftdruck bestimmt unser wetter|Áp suất không khí sâu xác định thời tiết của chúng ta
DEUTSCH LAND KUESTE WECHSELHAFT WETTER|auch an den küsten deutschlands setzt sich wieder unbeständiges wetter durch|Cũng trên bờ biển Đức chiếm thời tiết không ổn định
PUNKT NORD KALT REGION MILD|dort im norden bleibt es noch relativ kalt sonst ist es recht mild|Ở đó nó ở lại tương đối lạnh ở phía bắc, nếu không nó khá nhẹ
IN KOMMEND WIEDER WETTER WECHSELHAFT BLEIBEN|auch in den kommenden tagen dauert das wechselhafte wetter an|Thời tiết thay đổi tiếp tục trong những ngày tới
NORD HEUTE NACHT LOCH STERN KOENNEN SEHEN PUNKT REGEN REGION SCHNEE SCHNEIEN GLATT|im norden heute nacht lücken in der wolkendecke sonst regnet es hier und da vom emsland bis nach brandenburg teilweise schnee beziehungsweise gefrierender regen|Ở phía bắc những khoảng trống tối nay trong đám mây nếu không trời mưa ở đây và từ Emsland đến Brandenburg, đôi khi là tuyết hoặc mưa đóng băng
WIND WEHEN SCHWACH MAESSIG NORD FRISCH WEHEN|der wind weht schwach bis mäßig an der see auch frisch|Gió thổi yếu đến vừa phải trên hồ
HEUTE NACHT REGION ACHT MINUS SIEBEN PUNKT OST SEE|heute nacht acht grad am oberrhein minus sieben grad an der ostsee|Tối nay tám độ ở Thượng Rhine trừ đi bảy độ trên Biển Baltic
TAG DANN VIERZEHN GRAD REGION EINS GRAD NORD|am tag dann vierzehn grad im breisgau und ein grad ganz im norden|Sau đó mười bốn độ ở Breisgau và một độ ở phía bắc xa xôi
WIE AUSSEHEN IN KOMMEND DONNERSTAG AUCH REGEN PUNKT SONST SUEDOST AUCH SONNE DABEI|die aussichten auch am donnerstag regnet es gebietsweise vor allem in der südosthälfte zeigt sich auch die sonne|Triển vọng cũng vào thứ năm trời mưa ở một số người, đặc biệt là ở nửa phía đông nam, mặt trời cũng rõ ràng
FREITAG STARK BEWOELKT HIMMEL REGEN|am freitag ist es meist stark bewölkt und es regnet zeitweise|Nó thường rất nhiều mây vào thứ Sáu và trời mưa tạm thời
SAMSTAG REGEN BIS TIEF KOENNEN PASSIEREN SCHNEE|am samstag schauer teilweise bis in tiefere lagen schnee|Vào thứ bảy tắm một phần vào những địa điểm sâu hơn tuyết
WETTER WIE AUSSEHEN MORGEN SAMSTAG FUENF ZWANZIG SEPTEMBER|und nun die wettervorhersage für morgen samstag den fünfundzwanzigsten september|Và bây giờ dự báo thời tiết cho ngày mai thứ bảy, hai mươi tháng 9
MITTE EUROPA REGION TIEF KOMMEN MEISTENS OST SUED REGEN|über mitteleuropa liegt eine umfangreiche tiefdruckzone die vor allem dem osten und süden deutschlands zum teil ergiebige regenfälle bringt|Có một vùng áp suất thấp rộng trên trung tâm châu Âu, đặc biệt mang lại lượng mưa năng suất ở phía đông và phía nam của Đức
HOCH WEST ICH NEG HABEN NEG EINFLUSS NEG EINFLUSS VERMEIDEN BLOCKIEREN|die hochs westlich und östlich davon haben auf unser wetter kaum noch einfluss|Các đỉnh cao phía tây và phía đông của nó có ít ảnh hưởng đến thời tiết của chúng ta
HEUTE NACHT MEISTENS SCHAUER GEWITTER SUEDOST TEIL DURCHGEHEND REGEN|heute nacht sind anfangs noch einige kräftige schauer und gewitter unterwegs im süden und südosten setzt teilweise ergiebiger dauerregen ein|Lúc đầu, có một số cơn mưa rào và giông bão mạnh trên đường ở phía nam và đông nam.
NORDWEST AUFLOCKERUNG BESSER|richtung nordwesten reißt die wolkendecke auch mal auf|Ở phía tây bắc, đám mây cũng mở nước mắt
MORGEN WEST AUFLOCKERUNG SCHAUER SUEDOST VIEL LANG REGEN STARK REGEN|auch morgen im westen und nordwesten immer wieder wolkenlücken und einzelne schauer im süden später auch im osten fällt verbreitet teilweise länger anhaltender und kräftiger regen|Ngay cả ngày mai ở phía tây và Tây Bắc, những khoảng trống trên đám mây và những cơn mưa rào ở phía nam sau đó cũng rơi ở phía đông, đôi khi là mưa lớn và mưa lớn
ANFANG NACHT SCHAUER GEWITTER STURM WEHEN|zu beginn der nacht sind bei schauern und gewittern starke bis stürmische böen möglich|Vào đầu đêm, những cơn gió mạnh đến bão có thể xảy ra trong cơn mưa rào và giông bão
MORGEN SCHWACH MAESSIG WEST NORDWEST|morgen schwacher bis mäßiger wind aus west bis nordwest|Gió ngày mai yếu đến vừa phải từ tây sang tây bắc
ALPEN HEUTE NACHT SIEBEN NORD BIS DREIZEHN|am alpenrand heute nacht sieben im nordosten noch bis dreizehn grad|Trên rìa dãy Alps tối nay bảy ở vùng Đông Bắc lên đến mười ba độ
PUNKT NOCH MILD ZWANZIG REGION ZEHN BIS SIEBZEHN|dort morgen immerhin noch milde zwanzig sonst zehn bis siebzehn grad|Có ngày mai, ít nhất hai mươi tuổi khác từ mười đến mười bảy độ
SONNTAG WEST SUED SCHAUER AUCH SONNE|am sonntag im westen und süden neben einzelnen schauern auch etwas sonnenschein|Vào Chủ nhật ở phía tây và phía nam bên cạnh những cơn mưa rào riêng lẻ, cũng có một số ánh nắng mặt trời
REGION WOLKE VIEL REGEN|sonst viele wolken und gebietsweise ergiebiger regen|nếu không thì nhiều đám mây và trong khu vực mưa năng suất
MORGEN AUCH WEITER WECHSELHAFT KUEHL|auch in der neuen woche unbeständig und noch kühler|Ngay cả trong tuần mới không nhất quán và thậm chí mát hơn
OST WIND|im osten wird es windig|Ở phía đông, nó trở nên gió
ABEND LIEB ZUSCHAUER POSS EUCH|guten abend liebe zuschauer|Chào buổi tối khán giả thân yêu
MORGEN MEHR SONNE PUNKT DAS IST-ES ALLGAEU NEBEL VERSCHWINDEN|morgen wird es wohl sonniger werden und die nebelfelder wie hier im allgäu werden sich so ein bisschen zurückziehen letztendlich|Ngày mai có lẽ nó sẽ nắng hơn và những cánh đồng sương mù như ở đây trong Allgäu cuối cùng sẽ nghỉ hưu một chút
ABER ICH WIR ERWARTEN REGEN BESONDERS NORD DEUTSCH LAND NORD KOMMEN REGEN ABER MORGEN MITTAG NORDWEST|aber wir erwarten auch regen den vor allem für norddeutschland da zieht heute nacht von westen her ein regenband auf wird uns aber erst morgen nachmittag im nordwesten erreichen|Nhưng chúng tôi cũng mong đợi mưa chảy ra từ phương Tây, đặc biệt là đối với miền bắc nước Đức sẽ chỉ có một bộ phận từ phía tây tối nay, nhưng chúng tôi sẽ chỉ tiếp cận chúng tôi vào chiều mai ở Tây Bắc
VORHER PUNKT VIEL SONNE NEBEL WENIG|davor nochmal viel sonnenschein weniger nebelfelder das ist die gute nachricht|Trước đó, rất nhiều những cánh đồng sương mù ít ánh nắng mặt trời là tin tốt lành
HEUTE NACHT PUNKT SUED GLEICH DANN NEBEL KRAEFTIG SEHEN ZWISCHEN FUENFZIG BIS HUNDERT METER|heute nacht allerdings im süden noch keine entwarnung dicker nebel weiterhin sichtweiten hundert oder nur fünfzig meter|Tuy nhiên, tối nay, không có sương mù dày đặc tất cả ở miền Nam.
SUED ENORM KUEHL PUNKT NUR PUNKT BERG SONNE ZEHN ZWISCHEN NEBEL FROST NEBEL BISSCHEN WENIG ABER OST REGION BAYERN POSS SEIN FLUSS PUNKT SUED AUCH|im süden deutlich kühler nur am alpenrand mit sonne zehn sonst im nebel frostig und diese nebelfelder naja sie schrumpfen ein bisschen und halten sich wahrscheinlich noch im östlichen bayern an der donau auf auch noch südlich der donau|Ở miền Nam mát hơn đáng kể ở rìa dãy Alps với mặt trời mười mặt trời lạnh trong sương mù và những cánh đồng sương mù này cũng co lại một chút và có lẽ vẫn ở phía đông Bavaria trên sông Danube ở phía nam của sông Danube
SONST REGION VIEL SONNE DANN PUNKT NORDWEST REGEN NACH MITTAG DANN WIND MEHR HAUPTSAECHLICH|sonst aber viel sonnenschein morgen den es gibt bevor der regen dann aufzieht an der nordsee das ist am nachmittag der fall und dann wird auch der wind wieder kräftiger|Nếu không, rất nhiều ánh nắng ngày mai rằng có trước khi mưa di chuyển trên Biển Bắc, đó là trường hợp vào buổi chiều và sau đó gió cũng sẽ trở nên mạnh mẽ hơn
SAMSTAG WIND VERSCHWINDEN TROCKEN SONNTAG STURM ORKAN REGION PUNKT WEIHNACHTEN MARKT AUCH SUED SCHOEN WETTER SONNE|samstag dann wieder weniger wind es ist trocken aber sonntag da fegen dann sturm und orkanböen durch norddeutschland wahrscheinlich auch durch die weihnachtsmärkte im süden dagegen schönes wetter mit sonnenschein|Thứ bảy sau đó ít gió thì trời khô nhưng Chủ nhật có đồ ngọt và cơn bão qua miền bắc nước Đức có lẽ cũng qua các chợ Giáng sinh ở miền Nam, thời tiết đẹp với ánh nắng mặt trời
SCHOEN ABEND POSS EUCH MACHEN GUT POSS EUCH|ihnen einen schönen abend und machen sie es gut|Chúc một buổi tối vui vẻ và làm tốt
IN KOMMEND TROCKEN FREUNDLICH NEBEL WIND WEITER SO|das meist trockene und verbreitet freundliche herbstwetter setzt sich morgen bei uns fort|Thời tiết mùa thu thân thiện và khô khan sẽ tiếp tục với chúng ta vào ngày mai
OST EUROPA HOCH DARUM|verantwortlich dafür ist das hoch über dem osten europas|Điều này chịu trách nhiệm cho mức cao này phía trên phía đông của châu Âu
